Date,Time,Year,Month,Week,Day name,Latitude,Longitude,Type,Depth,Depth error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
19.02.1967,22:14:36,1967,2,8,Sunday,-8.965,113.017,Earthquake,80,0,0,6.3,MW,0,0,0,0,0,0,ISCGEMSUP838960,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
19.02.1967,23:28:29,1967,2,8,Sunday,-0.072,124.213,Earthquake,95,0,0,5.9,MW,0,0,0,0,0,0,ISCGEMSUP838961,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
20.02.1967,15:18:41,1967,2,8,Monday,33.617,75.333,Earthquake,20,0,0,5.5,MW,0,0,0,0,0,0,ISCGEM838981,ISCGEM,ISCGEM,ISCGEM,Automatic
22.02.1967,18:26:48,1967,2,8,Wednesday,-19.516,169.216,Earthquake,90.6,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM839037,ISCGEM,ISCGEM,ISCGEM,Automatic
23.02.1967,20:38:59,1967,2,8,Thursday,26.184,128.611,Earthquake,31.9,0,0,6,MW,0,0,0,0,0,0,ISCGEM839059,ISCGEM,ISCGEM,ISCGEM,Automatic
25.02.1967,11:20:50,1967,2,8,Saturday,-0.077,123.947,Earthquake,75,0,0,5.9,MW,0,0,0,0,0,0,ISCGEMSUP839104,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
25.02.1967,11:38:45,1967,2,8,Saturday,-0.114,123.969,Earthquake,80,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM839107,ISCGEM,ISCGEM,ISCGEM,Automatic
28.02.1967,9:37:20,1967,2,9,Tuesday,32.608,141.649,Earthquake,25,0,0,6,MW,0,0,0,0,0,0,ISCGEM839185,ISCGEM,ISCGEM,ISCGEM,Automatic
02.03.1967,2:47:33,1967,3,9,Thursday,-0.214,-78.595,Earthquake,118.9,0,0,6,MW,0,0,0,0,0,0,ISCGEM837313,ISCGEM,ISCGEM,ISCGEM,Automatic
04.03.1967,5:09:25,1967,3,9,Saturday,21.398,121.823,Earthquake,131.1,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837387,ISCGEM,ISCGEM,ISCGEM,Automatic
04.03.1967,6:16:24,1967,3,9,Saturday,-18.558,-175.286,Earthquake,226.7,0,0,5.7,MW,0,0,0,0,0,0,ISCGEMSUP837388,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
04.03.1967,17:58:06,1967,3,9,Saturday,39.1,24.684,Earthquake,15,0,0,6.6,MW,0,0,0,0,0,0,ISCGEM837410,ISCGEM,ISCGEM,ISCGEM,Automatic
09.03.1967,6:58:36,1967,3,10,Thursday,-10.617,166.198,Earthquake,15,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM837574,ISCGEM,ISCGEM,ISCGEM,Automatic
09.03.1967,18:02:42,1967,3,10,Thursday,-10.622,166.333,Earthquake,15,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM837598,ISCGEM,ISCGEM,ISCGEM,Automatic
11.03.1967,8:33:29,1967,3,10,Saturday,-10.821,166.388,Earthquake,55,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM837709,ISCGEM,ISCGEM,ISCGEM,Automatic
11.03.1967,14:45:01,1967,3,10,Saturday,19.263,-95.801,Earthquake,28.7,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM837720,ISCGEM,ISCGEM,ISCGEM,Automatic
13.03.1967,16:06:53,1967,3,11,Monday,-40.17,-74.722,Earthquake,20,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837800,ISCGEM,ISCGEM,ISCGEM,Automatic
13.03.1967,19:22:19,1967,3,11,Monday,19.581,38.874,Earthquake,20,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM837805,ISCGEM,ISCGEM,ISCGEM,Automatic
14.03.1967,6:58:05,1967,3,11,Tuesday,28.463,94.248,Earthquake,16.9,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837822,ISCGEM,ISCGEM,ISCGEM,Automatic
17.03.1967,11:24:47,1967,3,11,Friday,-3.575,150.909,Earthquake,25,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM837919,ISCGEM,ISCGEM,ISCGEM,Automatic
18.03.1967,19:15:37,1967,3,11,Saturday,-6.075,146.354,Earthquake,110,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837953,ISCGEM,ISCGEM,ISCGEM,Automatic
19.03.1967,1:10:51,1967,3,12,Sunday,-6.727,129.744,Earthquake,97.7,0,0,6.2,MW,0,0,0,0,0,0,ISCGEMSUP837961,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
19.03.1967,4:01:41,1967,3,12,Sunday,45.527,151.188,Earthquake,40,0,0,6.7,MW,0,0,0,0,0,0,ISCGEM837968,ISCGEM,ISCGEM,ISCGEM,Automatic
20.03.1967,13:31:35,1967,3,12,Monday,45.672,151.301,Earthquake,35,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM838027,ISCGEM,ISCGEM,ISCGEM,Automatic
20.03.1967,13:40:53,1967,3,12,Monday,45.438,151.511,Earthquake,34.5,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM838029,ISCGEM,ISCGEM,ISCGEM,Automatic
24.03.1967,9:00:20,1967,3,12,Friday,-5.972,112.225,Earthquake,598,0,0,6.7,MW,0,0,0,0,0,0,ISCGEM838174,ISCGEM,ISCGEM,ISCGEM,Automatic
25.03.1967,22:47:59,1967,3,12,Saturday,45.201,151.551,Earthquake,30.4,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM838224,ISCGEM,ISCGEM,ISCGEM,Automatic
26.03.1967,22:39:03,1967,3,13,Sunday,-9.182,148.623,Earthquake,20,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM838258,ISCGEM,ISCGEM,ISCGEM,Automatic
27.03.1967,8:58:24,1967,3,13,Monday,38.474,116.608,Earthquake,29.7,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM838270,ISCGEM,ISCGEM,ISCGEM,Automatic
27.03.1967,10:01:45,1967,3,13,Monday,-16.438,168.214,Earthquake,15,0,0,6.4,MW,0,0,0,0,0,0,ISCGEM838272,ISCGEM,ISCGEM,ISCGEM,Automatic
30.03.1967,2:08:01,1967,3,13,Thursday,-11.114,115.227,Earthquake,15,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM838363,ISCGEM,ISCGEM,ISCGEM,Automatic
01.04.1967,5:54:21,1967,4,13,Saturday,45.718,151.83,Earthquake,35,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM836186,ISCGEM,ISCGEM,ISCGEM,Automatic
01.04.1967,5:57:08,1967,4,13,Saturday,45.661,151.789,Earthquake,45,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM836187,ISCGEM,ISCGEM,ISCGEM,Automatic
01.04.1967,12:23:35,1967,4,13,Saturday,45.617,151.703,Earthquake,29.8,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM836203,ISCGEM,ISCGEM,ISCGEM,Automatic
03.04.1967,8:04:18,1967,4,14,Monday,-6.024,151.499,Earthquake,22.5,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM836262,ISCGEM,ISCGEM,ISCGEM,Automatic
05.04.1967,2:34:10,1967,4,14,Wednesday,20.036,147.311,Earthquake,27.1,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM836328,ISCGEM,ISCGEM,ISCGEM,Automatic
05.04.1967,2:47:54,1967,4,14,Wednesday,19.992,147.227,Earthquake,25,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM836329,ISCGEM,ISCGEM,ISCGEM,Automatic
06.04.1967,12:21:59,1967,4,14,Thursday,20.07,147.252,Earthquake,25,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM836392,ISCGEM,ISCGEM,ISCGEM,Automatic
09.04.1967,0:05:10,1967,4,15,Sunday,-3.989,135.677,Earthquake,15,0,0,6,MW,0,0,0,0,0,0,ISCGEM836469,ISCGEM,ISCGEM,ISCGEM,Automatic
10.04.1967,4:59:56,1967,4,15,Monday,-7.359,155.753,Earthquake,35,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM836516,ISCGEM,ISCGEM,ISCGEM,Automatic
10.04.1967,15:02:44,1967,4,15,Monday,-7.222,155.833,Earthquake,35,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM836535,ISCGEM,ISCGEM,ISCGEM,Automatic
10.04.1967,16:47:50,1967,4,15,Monday,-63.66,-167.459,Earthquake,10,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM836539,ISCGEM,ISCGEM,ISCGEM,Automatic
12.04.1967,4:51:42,1967,4,15,Wednesday,5.121,96.286,Earthquake,50,0,0,6.7,MW,0,0,0,0,0,0,ISCGEM836599,ISCGEM,ISCGEM,ISCGEM,Automatic
12.04.1967,5:11:18,1967,4,15,Wednesday,5.349,96.483,Earthquake,50,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM836610,ISCGEM,ISCGEM,ISCGEM,Automatic
13.04.1967,19:59:53,1967,4,15,Thursday,18.309,-100.125,Earthquake,85,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM836698,ISCGEM,ISCGEM,ISCGEM,Automatic
20.04.1967,0:01:27,1967,4,16,Thursday,-5.605,129.639,Earthquake,175,0,0,5.7,MW,0,0,0,0,0,0,ISCGEMSUP836920,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
21.04.1967,8:14:24,1967,4,16,Friday,-5.401,126.688,Earthquake,10,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM836974,ISCGEM,ISCGEM,ISCGEM,Automatic
23.04.1967,17:52:47,1967,4,17,Sunday,13.558,146.268,Earthquake,15,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837045,ISCGEM,ISCGEM,ISCGEM,Automatic
29.04.1967,3:55:20,1967,4,17,Saturday,51.42,-178.261,Earthquake,31.6,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM837207,ISCGEM,ISCGEM,ISCGEM,Automatic
30.04.1967,16:59:00,1967,4,18,Sunday,-1.808,138.694,Earthquake,20,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM837261,ISCGEM,ISCGEM,ISCGEM,Automatic
01.05.1967,7:09:03,1967,5,18,Monday,39.528,21.267,Earthquake,25,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM835092,ISCGEM,ISCGEM,ISCGEM,Automatic
04.05.1967,8:17:34,1967,5,18,Thursday,-55.604,-28.129,Earthquake,30,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM835202,ISCGEM,ISCGEM,ISCGEM,Automatic
05.05.1967,15:00:08,1967,5,18,Friday,-10.425,161.494,Earthquake,40,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM835264,ISCGEM,ISCGEM,ISCGEM,Automatic
09.05.1967,21:30:07,1967,5,19,Tuesday,5.161,127.412,Earthquake,90,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM835410,ISCGEM,ISCGEM,ISCGEM,Automatic
11.05.1967,14:51:01,1967,5,19,Thursday,39.365,73.787,Earthquake,15,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM835469,ISCGEM,ISCGEM,ISCGEM,Automatic
11.05.1967,15:05:23,1967,5,19,Thursday,-20.304,-68.821,Earthquake,109.4,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM835470,ISCGEM,ISCGEM,ISCGEM,Automatic
20.05.1967,13:02:07,1967,5,20,Saturday,-59.076,-65.47,Earthquake,10,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM835811,ISCGEM,ISCGEM,ISCGEM,Automatic
21.05.1967,18:45:13,1967,5,21,Sunday,-0.897,101.313,Earthquake,179.3,0,0,6.7,MW,0,0,0,0,0,0,ISCGEM835857,ISCGEM,ISCGEM,ISCGEM,Automatic
23.05.1967,19:17:48,1967,5,21,Tuesday,-56.191,-27.608,Earthquake,125,0,0,5.8,MW,0,0,0,0,0,0,ISCGEMSUP835940,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
27.05.1967,17:23:00,1967,5,21,Saturday,51.851,176.105,Earthquake,30.7,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM836067,ISCGEM,ISCGEM,ISCGEM,Automatic
27.05.1967,19:05:48,1967,5,21,Saturday,36.034,77.714,Earthquake,20,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM836068,ISCGEM,ISCGEM,ISCGEM,Automatic
29.05.1967,4:45:44,1967,5,22,Monday,12.115,143.729,Earthquake,20,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM836104,ISCGEM,ISCGEM,ISCGEM,Automatic
01.06.1967,3:36:19,1967,6,22,Thursday,53.567,-165.718,Earthquake,50,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM833971,ISCGEM,ISCGEM,ISCGEM,Automatic
01.06.1967,20:47:45,1967,6,22,Thursday,-6.794,154.934,Earthquake,15,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM833998,ISCGEM,ISCGEM,ISCGEM,Automatic
03.06.1967,9:08:57,1967,6,22,Saturday,58.207,-151.453,Earthquake,27.8,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM834049,ISCGEM,ISCGEM,ISCGEM,Automatic
10.06.1967,5:26:44,1967,6,23,Saturday,-41.394,-73.809,Earthquake,31.9,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM834296,ISCGEM,ISCGEM,ISCGEM,Automatic
12.06.1967,5:21:09,1967,6,24,Monday,-44.881,35.508,Earthquake,10,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM834375,ISCGEM,ISCGEM,ISCGEM,Automatic
12.06.1967,23:22:46,1967,6,24,Monday,47.649,154.23,Earthquake,40,0,0,6,MW,0,0,0,0,0,0,ISCGEM834403,ISCGEM,ISCGEM,ISCGEM,Automatic
14.06.1967,3:14:18,1967,6,24,Wednesday,-15.052,-73.315,Earthquake,97,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM834458,ISCGEM,ISCGEM,ISCGEM,Automatic
14.06.1967,5:06:21,1967,6,24,Wednesday,-15.406,-173.343,Earthquake,29.6,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM834461,ISCGEM,ISCGEM,ISCGEM,Automatic
14.06.1967,8:13:01,1967,6,24,Wednesday,47.449,154.503,Earthquake,35,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM834466,ISCGEM,ISCGEM,ISCGEM,Automatic
17.06.1967,5:00:15,1967,6,24,Saturday,-58.375,-26.956,Earthquake,163.4,0,0,6,MW,0,0,0,0,0,0,ISCGEMSUP834571,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
19.06.1967,17:07:46,1967,6,25,Monday,52.539,-166.912,Earthquake,27.1,0,0,6.1,MW,0,0,0,0,0,0,ISCGEM834657,ISCGEM,ISCGEM,ISCGEM,Automatic
20.06.1967,7:38:49,1967,6,25,Tuesday,52.638,-167.155,Earthquake,27.6,0,0,5.9,MW,0,0,0,0,0,0,ISCGEM834686,ISCGEM,ISCGEM,ISCGEM,Automatic
21.06.1967,6:49:54,1967,6,25,Wednesday,-2.336,-77.519,Earthquake,15,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM834721,ISCGEM,ISCGEM,ISCGEM,Automatic
21.06.1967,18:13:04,1967,6,25,Wednesday,64.65,-147.798,Earthquake,10,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM834742,ISCGEM,ISCGEM,ISCGEM,Automatic
21.06.1967,20:09:32,1967,6,25,Wednesday,-25.076,-70.394,Earthquake,35,0,0,6.2,MW,0,0,0,0,0,0,ISCGEM834748,ISCGEM,ISCGEM,ISCGEM,Automatic
23.06.1967,5:05:06,1967,6,25,Friday,-5.859,130.325,Earthquake,90,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM834808,ISCGEM,ISCGEM,ISCGEM,Automatic
23.06.1967,21:30:12,1967,6,25,Friday,-19.142,167.74,Earthquake,16.4,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM834840,ISCGEM,ISCGEM,ISCGEM,Automatic
24.06.1967,21:00:26,1967,6,25,Saturday,12.531,141.665,Earthquake,20,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM834876,ISCGEM,ISCGEM,ISCGEM,Automatic
25.06.1967,23:18:04,1967,6,26,Sunday,12.488,141.655,Earthquake,20,0,0,5.8,MW,0,0,0,0,0,0,ISCGEM834918,ISCGEM,ISCGEM,ISCGEM,Automatic
28.06.1967,0:14:37,1967,6,26,Wednesday,-9.543,157.752,Earthquake,25,0,0,5.6,MW,0,0,0,0,0,0,ISCGEM834989,ISCGEM,ISCGEM,ISCGEM,Automatic
28.06.1967,14:34:06,1967,6,26,Wednesday,-47.085,165.844,Earthquake,30,0,0,5.7,MW,0,0,0,0,0,0,ISCGEM835008,ISCGEM,ISCGEM,ISCGEM,Automatic
